"language","license","rightsHolder","datasetID","datasetName","taxonID","scientificNameID","scientificName","kingdom","family","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",1,"http://ipni.org/urn:lsid:ipni.org:names:44892-1","Acanthus mollis L.","Plantae","Acanthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",2,"http://ipni.org/urn:lsid:ipni.org:names:44920-1","Acanthus spinosus L.","Plantae","Acanthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",3,"http://ipni.org/urn:lsid:ipni.org:names:84009-1","Acorus calamus L.","Plantae","Acoraceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",4,"http://ipni.org/urn:lsid:ipni.org:names:913605-1","Actinidia deliciosa (Chevalier) C.S. Liang & A.R. Ferguson","Plantae","Actinidiaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",5,"http://ipni.org/urn:lsid:ipni.org:names:321978-2","Sambucus canadensis L.","Plantae","Adoxaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",6,"http://ipni.org/urn:lsid:ipni.org:names:149642-1","Viburnum davidii Franch.","Plantae","Adoxaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",7,"http://ipni.org/urn:lsid:ipni.org:names:149902-1:1.1.2.1.1.3.1.3","Viburnum rhytidophyllum Hemsl.","Plantae","Adoxaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",8,"http://ipni.org/urn:lsid:ipni.org:names:69627-3:1.1","Viburnum tinus L.","Plantae","Adoxaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",9,"http://ipni.org/urn:lsid:ipni.org:names:149901-1:1.4","Viburnum x rhytidophylloides Suringar","Plantae","Adoxaceae","hybrid","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",10,,"Delosperma cooperi (Hook.f.) L. Bolus","Plantae","Aizoaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",11,"http://ipni.org/urn:lsid:ipni.org:names:362741-1:1.4","Mesembryanthemum cordifolium L.f.","Plantae","Aizoaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",12,"http://ipni.org/urn:lsid:ipni.org:names:362764-1","Mesembryanthemum crystallinum L.","Plantae","Aizoaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",13,"http://ipni.org/urn:lsid:ipni.org:names:363203-1:1.2.1.4","Mesembryanthemum nodiflorum L.","Plantae","Aizoaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",14,"http://ipni.org/urn:lsid:ipni.org:names:235145-2","Sesuvium portulacastrum (L.) L.","Plantae","Aizoaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",15,"http://ipni.org/urn:lsid:ipni.org:names:364795-1","Tetragonia tetragonioides (Pallas) O. Kuntze","Plantae","Aizoaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",16,"http://ipni.org/urn:lsid:ipni.org:names:58518-1:1.1.5.1.1.1","Sagittaria latifolia Willd.","Plantae","Alismataceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",17,"http://ipni.org/urn:lsid:ipni.org:names:430718-1:1.2.1.2","Liquidambar styraciflua L.","Plantae","Altingiaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",18,"http://ipni.org/urn:lsid:ipni.org:names:59108-1:1.1.2.1.1.5","Alternanthera angustifolia R. Brown","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",19,,"Alternanthera caracasana Humb., Bonpl. & Kunth","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",20,,"Alternanthera denticulata R. Brown","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",21,,"Alternanthera nodiflora R. Brown","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",22,,"Alternanthera paronychioides A. St. Hil.","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",23,"http://ipni.org/urn:lsid:ipni.org:names:59301-1:1.4","Alternanthera pungens Humb., Bonpl. & Kunth","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",24,"http://ipni.org/urn:lsid:ipni.org:names:1069792-2","Alternanthera sessilis (L.) DC.","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",25,"http://ipni.org/urn:lsid:ipni.org:names:10483-2:1.2","Alternanthera tenella Colla","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",26,,"Amaranthus acutilobus Uline & Bray","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",27,"http://ipni.org/urn:lsid:ipni.org:names:108222-3:1.1","Amaranthus albus L.","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",28,"http://ipni.org/urn:lsid:ipni.org:names:10615-2","Amaranthus blitoides S. Watson","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",29,"http://ipni.org/urn:lsid:ipni.org:names:10619-2","Amaranthus blitum L. s.l.","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",30,,"Amaranthus capensis Thell. subsp. capensis","Plantae","Amaranthaceae","subspecies","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",31,"http://ipni.org/urn:lsid:ipni.org:names:919660-1","Amaranthus capensis Thell. subsp. uncinatus (Thell.) Brenan","Plantae","Amaranthaceae","subspecies","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",32,"http://ipni.org/urn:lsid:ipni.org:names:316347-2","Amaranthus caudatus L.","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",33,"http://ipni.org/urn:lsid:ipni.org:names:59468-1","Amaranthus clementii Domin","Plantae","Amaranthaceae","species","ICBN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","","Manual of the Alien Plants of Belgium",34,,"Amaranthus crispus (Lesp. & Thév.) N. Terrac.","Plantae","Amaranthaceae","species","ICBN"
